ts,tps,cum_tps,r_iops,w_iops,hit_ratio,hit_ratio_gc,edt_gap,rmb_s,wmb_s,ewmb_s,cpwmb_s,dwbw_mb,gcwmb_s,gcrmb_s,valid_ratio,comp_ratio,logmb_s,wal_sz,db_sz,alloc_sz,mem_mb,cum_flash_wmb,db_waf,ssd_run_waf,ssd_cum_waf,version
1071,255765,230762419,99518,103724,0.932,0.000,0,388.742,405.172,202.586,0.000,202.586,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110849.336,942743.750,2.000,1.967,1.949,0
1072,253071,231015490,99210,103140,0.931,0.000,0,387.539,402.891,199.492,0.000,203.398,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110849.336,943546.750,2.000,1.993,1.949,0
1073,257606,231273096,100433,104563,0.932,0.000,0,392.316,408.449,204.234,0.000,204.215,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110849.336,944361.000,2.000,1.994,1.949,0
1074,265845,231538941,103712,105227,0.932,0.000,0,405.125,411.043,207.465,0.000,203.578,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110849.336,945184.125,2.000,2.003,1.949,0
1075,258564,231797505,101381,108594,0.931,0.000,0,396.020,424.195,212.098,0.000,212.098,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110849.336,946022.812,2.000,1.977,1.949,0
1076,264612,232062117,103044,107735,0.932,0.000,0,402.516,420.840,208.129,0.000,212.711,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,946835.000,2.000,1.930,1.949,0
1077,265583,232327700,104135,105963,0.931,0.000,0,406.777,413.918,208.422,0.000,205.496,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,947667.812,2.000,2.012,1.949,0
1078,255538,232583238,100106,105566,0.931,0.000,0,391.039,412.367,203.688,0.000,208.680,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,948484.688,2.000,1.981,1.949,0
1079,247170,232830408,96446,103022,0.932,0.000,0,376.742,402.430,203.820,0.000,198.609,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,949276.188,2.000,1.967,1.949,0
1080,255435,233085843,99854,103346,0.932,0.000,0,390.055,403.695,200.535,0.000,203.160,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,950080.875,2.000,1.993,1.949,0
1081,256717,233342560,100159,105121,0.932,0.000,0,391.246,410.629,205.559,0.000,205.070,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,950899.438,2.000,1.993,1.949,0
1082,261200,233603760,101473,106237,0.932,0.000,0,396.379,414.988,209.281,0.000,205.707,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,951726.625,2.000,1.993,1.949,0
1083,265174,233868934,103273,108388,0.932,0.000,0,403.410,423.391,209.875,0.000,213.516,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,952565.750,2.000,1.982,1.949,0
1084,264835,234133769,103703,106658,0.931,0.000,0,405.090,416.633,208.266,0.000,208.367,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,953383.938,2.000,1.964,1.949,0
1085,258860,234392629,101121,108064,0.932,0.000,0,395.004,422.125,212.934,0.000,209.191,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,954213.625,2.000,1.965,1.949,0
1086,254641,234647270,99472,102970,0.932,0.000,0,388.562,402.227,198.422,0.000,203.805,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,955021.250,2.000,2.008,1.949,0
1087,247369,234894639,96489,103222,0.932,0.000,0,376.910,403.211,201.695,0.000,201.516,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,955824.438,2.000,1.992,1.949,0
1088,256633,235151272,99814,104110,0.932,0.000,0,389.898,406.680,202.379,0.000,204.301,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,956638.625,2.000,2.002,1.949,0
1089,256576,235407848,100034,104587,0.932,0.000,0,390.758,408.543,205.461,0.000,203.082,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,957454.000,2.000,1.996,1.949,0
1090,254851,235662699,99400,107357,0.932,0.000,0,388.281,419.363,211.168,0.000,208.195,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,958275.938,2.000,1.960,1.949,0
1091,265362,235928061,103649,105804,0.932,0.000,0,404.879,413.297,207.289,0.000,206.008,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,959094.875,2.000,1.981,1.949,0
1092,246446,236174507,96258,104929,0.932,0.000,0,376.008,409.879,203.219,0.000,206.660,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,959899.500,2.000,1.963,1.949,0
1093,256647,236431154,100639,106364,0.931,0.000,0,393.121,415.484,209.520,0.000,205.965,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,960723.312,2.000,1.983,1.949,0
1094,253775,236684929,99248,101733,0.932,0.000,0,387.688,397.395,198.438,0.000,198.957,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,961524.375,2.000,2.016,1.949,0
1095,246486,236931415,96268,103034,0.932,0.000,0,376.047,402.477,199.781,0.000,202.695,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,962329.000,2.000,1.999,1.949,0
1096,255311,237186726,100024,105138,0.931,0.000,0,390.719,410.695,206.688,0.000,204.008,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,963154.000,2.000,2.009,1.949,0
1097,255462,237442188,100073,107056,0.931,0.000,0,390.910,418.188,207.703,0.000,210.484,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,963987.125,2.000,1.992,1.949,0
1098,259389,237701577,101515,109518,0.932,0.000,0,396.543,427.805,215.859,0.000,211.945,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,964832.375,2.000,1.976,1.949,0
1099,262194,237963771,102541,108449,0.932,0.000,0,400.551,423.629,208.684,0.000,214.945,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,965657.562,2.000,1.948,1.949,0
1100,255424,238219195,100177,106240,0.931,0.000,0,391.316,415.000,207.672,0.000,207.328,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,966487.250,2.000,1.999,1.949,0
1101,245843,238465038,96071,104296,0.932,0.000,0,375.277,407.406,206.152,0.000,201.254,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,967288.375,2.000,1.967,1.949,0
1102,252510,238717548,98768,102629,0.932,0.000,0,385.812,400.895,200.957,0.000,199.938,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,968103.562,2.000,2.033,1.950,0
1103,248706,238966254,97392,104362,0.931,0.000,0,380.438,407.664,200.406,0.000,207.258,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,968909.062,2.000,1.976,1.950,0
1104,255603,239221857,99776,106964,0.932,0.000,0,389.750,417.828,211.223,0.000,206.605,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,969735.438,2.000,1.978,1.950,0
1105,265319,239487176,103771,108576,0.932,0.000,0,405.355,424.125,210.656,0.000,213.469,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,970592.000,2.000,2.020,1.950,0
1106,257287,239744463,100889,109112,0.931,0.000,0,394.098,426.219,215.633,0.000,210.586,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,971429.312,2.000,1.965,1.950,0
1107,258755,240003218,102058,107038,0.931,0.000,0,398.664,418.117,209.059,0.000,209.059,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,972248.750,2.000,1.960,1.950,0
1108,249504,240252722,97419,105266,0.932,0.000,0,380.543,411.195,203.000,0.000,208.195,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,973063.375,2.000,1.981,1.950,0
1109,246896,240499618,96369,104108,0.932,0.000,0,376.441,406.672,205.457,0.000,201.215,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,973865.750,2.000,1.973,1.950,0
1110,246676,240746294,96612,103218,0.931,0.000,0,377.391,403.195,201.926,0.000,201.270,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,974667.438,2.000,1.988,1.950,0
1111,255348,241001642,99790,105141,0.932,0.000,0,389.805,410.707,202.098,0.000,208.609,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,975498.188,2.000,2.023,1.950,0
1112,255166,241256808,100226,108256,0.931,0.000,0,391.508,422.875,214.594,0.000,208.281,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,976335.688,2.000,1.980,1.950,0
1113,264595,241521403,103734,109375,0.931,0.000,0,405.211,427.246,210.086,0.000,217.160,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,977196.250,2.000,2.014,1.950,0
1114,255938,241777341,100042,108650,0.932,0.000,0,390.789,424.414,214.496,0.000,209.918,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,978010.000,2.000,1.917,1.950,0
1115,255428,242032769,100169,104899,0.931,0.000,0,391.285,409.762,205.355,0.000,204.406,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,978834.875,2.000,2.013,1.950,0
1116,245553,242278322,96261,104486,0.931,0.000,0,376.020,408.148,202.195,0.000,205.953,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,979647.750,2.000,1.992,1.950,0
1117,247014,242525336,96433,103863,0.932,0.000,0,376.691,405.715,202.250,0.000,203.465,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,980455.062,2.000,1.990,1.950,0
1118,247776,242773112,96654,104219,0.932,0.000,0,377.555,407.105,203.613,0.000,203.492,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,981267.562,2.000,1.996,1.950,0
1119,255113,243028225,100112,105966,0.931,0.000,0,391.062,413.930,208.555,0.000,205.375,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,982101.188,2.000,2.014,1.950,0
1120,256130,243284355,100086,110020,0.932,0.000,0,390.961,429.766,215.707,0.000,214.059,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,982942.500,2.000,1.958,1.950,0
1121,262160,243546515,102621,108049,0.931,0.000,0,400.863,422.066,212.066,0.000,210.000,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,983790.438,2.000,2.009,1.950,0
1122,259760,243806275,101774,107992,0.931,0.000,0,397.555,421.844,210.250,0.000,211.594,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,984611.625,2.000,1.947,1.950,0
1123,247474,244053749,96650,107534,0.932,0.000,0,377.539,420.055,210.699,0.000,209.355,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,985436.188,2.000,1.963,1.950,0
1124,246504,244300253,96204,103466,0.932,0.000,0,375.797,404.164,202.082,0.000,202.082,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,986242.750,2.000,1.996,1.950,0
1125,246181,244546434,96073,103147,0.932,0.000,0,375.285,402.918,198.793,0.000,204.125,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,987052.688,2.000,2.010,1.950,0
1126,246252,244792686,96584,104649,0.931,0.000,0,377.281,408.785,206.977,0.000,201.809,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,987860.750,2.000,1.977,1.950,0
1127,257586,245050272,100702,107992,0.932,0.000,0,393.367,421.844,211.004,0.000,210.840,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,988709.375,2.000,2.012,1.950,0
1128,261789,245312061,102374,109285,0.932,0.000,0,399.898,426.895,210.340,0.000,216.555,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,989567.188,2.000,2.010,1.950,0
1129,254973,245567034,99845,108608,0.931,0.000,0,390.020,424.250,211.586,0.000,212.664,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,990384.250,2.000,1.926,1.950,0
1130,248715,245815749,97568,106487,0.931,0.000,0,381.125,415.965,211.629,0.000,204.336,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,991222.000,2.000,2.014,1.950,0
1131,248445,246064194,97340,104572,0.931,0.000,0,380.234,408.484,204.242,0.000,204.242,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,992022.375,2.000,1.959,1.950,0
1132,241623,246305817,94551,103287,0.931,0.000,0,369.340,403.465,200.281,0.000,203.184,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,992829.062,2.000,1.999,1.950,0
1133,246367,246552184,96576,102356,0.931,0.000,0,377.250,399.828,199.973,0.000,199.855,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,993635.938,2.000,2.018,1.950,0
1134,248162,246800346,96691,107378,0.932,0.000,0,377.699,419.445,211.082,0.000,208.363,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,994464.000,2.000,1.974,1.950,0
1135,263384,247063730,102913,109085,0.932,0.000,0,402.004,426.113,209.324,0.000,216.789,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,995325.188,2.000,2.021,1.951,0
1136,256369,247320099,100547,110056,0.931,0.000,0,392.762,429.906,215.855,0.000,214.051,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,996175.625,2.000,1.978,1.951,0
1137,257267,247577366,100287,107785,0.932,0.000,0,391.746,421.035,209.637,0.000,211.398,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,996997.625,2.000,1.952,1.951,0
1138,247068,247824434,96662,106661,0.931,0.000,0,377.586,416.645,210.957,0.000,205.688,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,997818.500,2.000,1.970,1.951,0
1139,246624,248071058,96519,101041,0.931,0.000,0,377.027,394.691,198.309,0.000,196.383,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,998616.125,2.000,2.021,1.951,0
1140,242811,248313869,95073,103937,0.931,0.000,0,371.379,406.004,203.148,0.000,202.855,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,999422.375,2.000,1.986,1.951,0
1141,247779,248561648,96906,106645,0.932,0.000,0,378.539,416.582,204.906,0.000,211.676,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,1000258.938,2.000,2.008,1.951,0
1142,256433,248818081,100330,108860,0.932,0.000,0,391.914,425.234,212.938,0.000,212.297,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,1001111.500,2.000,2.005,1.951,0
1143,255850,249073931,100179,110695,0.931,0.000,0,391.324,432.402,215.629,0.000,216.773,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,1001969.375,2.000,1.984,1.951,0
1144,256053,249329984,100192,110412,0.932,0.000,0,391.375,431.297,218.871,0.000,212.426,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,1002792.625,2.000,1.909,1.951,0
1145,255733,249585717,100210,106670,0.931,0.000,0,391.445,416.680,206.133,0.000,210.547,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,1003634.188,2.000,2.020,1.951,0
1146,239472,249825189,93571,104399,0.932,0.000,0,365.512,407.809,206.500,0.000,201.309,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,1004436.625,2.000,1.968,1.951,0
1147,245463,250070652,95894,103598,0.932,0.000,0,374.586,404.680,198.828,0.000,205.852,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,1005255.125,2.000,2.023,1.951,0
1148,245631,250316283,95969,101989,0.932,0.000,0,374.879,398.395,202.734,0.000,195.660,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,1006053.750,2.000,2.005,1.951,0
1149,244704,250560987,95652,110809,0.932,0.000,0,373.641,432.848,206.344,10.000,216.504,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,1006914.250,2.000,1.988,1.951,0
1150,231529,250792516,91183,120026,0.932,0.000,0,356.184,468.852,193.988,37.500,237.363,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,1007852.875,2.000,2.002,1.951,0
1151,227095,251019611,90935,118452,0.931,0.000,0,355.215,462.703,196.762,37.500,228.441,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,1008768.562,2.000,1.979,1.951,0
1152,222266,251241877,89001,117003,0.932,0.000,0,347.660,457.043,190.879,37.750,228.414,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110850.836,1009664.312,2.000,1.960,1.951,0
1153,222113,251463990,88962,113201,0.932,0.000,0,347.508,442.191,182.734,37.238,222.219,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110852.336,1010542.250,2.000,1.985,1.951,0
1154,213501,251677491,85635,112911,0.932,0.000,0,334.512,441.059,182.324,35.512,223.223,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110852.336,1011417.500,2.000,1.984,1.951,0
1155,213269,251890760,85685,113240,0.932,0.000,0,334.707,442.344,185.547,36.750,220.047,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110852.336,1012294.062,2.000,1.982,1.951,0
1156,223131,252113891,89779,117130,0.932,0.000,0,350.699,457.539,194.816,36.395,226.328,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110852.336,1013200.062,2.000,1.980,1.951,0
1157,232500,252346391,93491,119081,0.932,0.000,0,365.199,465.160,191.078,37.684,236.398,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110852.336,1014127.250,2.000,1.993,1.951,0
1158,229301,252575692,92755,118334,0.931,0.000,0,362.324,462.242,197.523,37.660,227.059,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110852.336,1015032.562,2.000,1.959,1.951,0
1159,224254,252799946,90778,118463,0.932,0.000,0,354.602,462.746,190.621,39.512,232.613,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110853.836,1015931.375,2.000,1.942,1.951,0
1160,212765,253012711,85688,113901,0.932,0.000,0,334.719,444.926,183.340,36.598,224.988,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110856.836,1016808.562,2.000,1.972,1.951,0
1161,216310,253229021,87115,113628,0.932,0.000,0,340.293,443.859,189.645,35.961,218.254,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110856.836,1017677.000,2.000,1.957,1.951,0
1162,217916,253446937,88229,112750,0.932,0.000,0,344.645,440.430,181.375,36.051,223.004,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110858.336,1018556.250,2.000,1.996,1.951,0
1163,222915,253669852,89864,118592,0.932,0.000,0,351.031,463.250,197.473,35.949,229.828,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110858.336,1019473.188,2.000,1.979,1.951,0
1164,232126,253901978,93718,117811,0.932,0.000,0,366.086,460.199,192.520,38.105,229.574,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110859.836,1020395.000,2.000,2.003,1.951,0
1165,221905,254123883,90064,119632,0.932,0.000,0,351.812,467.312,197.570,36.336,233.406,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110861.336,1021313.500,2.000,1.965,1.951,0
1166,221680,254345563,90141,116801,0.932,0.000,0,352.113,456.254,191.113,37.250,227.891,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110861.336,1022195.875,2.000,1.934,1.951,0
1167,219150,254564713,88978,113702,0.932,0.000,0,347.570,444.148,181.496,39.172,223.480,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110864.336,1023087.562,2.000,2.008,1.951,0
1168,210981,254775694,85818,113588,0.932,0.000,0,335.227,443.703,181.699,37.727,224.277,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110864.336,1023971.750,2.000,1.993,1.951,0
1169,211436,254987130,85888,113239,0.932,0.000,0,335.500,442.340,188.832,35.262,218.246,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110865.836,1024849.562,2.000,1.984,1.951,0
1170,227376,255214506,92429,118187,0.932,0.000,0,361.051,461.668,193.371,38.340,229.957,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110865.836,1025779.312,2.000,2.014,1.951,0
1171,223616,255438122,91042,119877,0.932,0.000,0,355.633,468.270,190.840,40.250,237.180,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110868.836,1026710.000,2.000,1.987,1.951,0
1172,220577,255658699,89900,119537,0.932,0.000,0,351.172,466.941,197.477,38.574,230.891,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110871.836,1027629.750,2.000,1.970,1.951,0
1173,224253,255882952,91249,118188,0.932,0.000,0,356.441,461.672,191.797,39.547,230.328,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110876.336,1028484.125,2.000,1.851,1.951,0
1174,216780,256099732,88199,113850,0.932,0.000,0,344.527,444.727,180.945,38.629,225.152,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110877.836,1029372.812,2.000,1.998,1.951,0
1175,209278,256309010,85579,113291,0.932,0.000,0,334.293,442.543,182.973,37.750,221.820,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110877.836,1030254.750,2.000,1.993,1.951,0
1176,212267,256521277,86555,113816,0.932,0.000,0,338.105,444.594,188.387,37.250,218.957,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110877.836,1031138.000,2.000,1.987,1.952,0
1177,227420,256748697,92802,118803,0.932,0.000,0,362.508,464.074,188.875,39.500,235.699,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110879.336,1032078.625,2.000,2.027,1.952,0
1178,220643,256969340,90497,119628,0.932,0.000,0,353.504,467.297,198.312,39.000,229.984,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110880.836,1032995.500,2.000,1.962,1.952,0
1179,227077,257196417,92807,118781,0.932,0.000,0,362.527,463.988,189.172,39.957,234.859,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110880.836,1033922.812,2.000,1.999,1.952,0
1180,214201,257410618,87800,114970,0.932,0.000,0,342.969,449.102,188.480,38.949,221.672,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110880.836,1034799.500,2.000,1.952,1.952,0
1181,213682,257624300,87468,114761,0.932,0.000,0,341.672,448.285,182.055,38.645,227.586,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110883.836,1035701.250,2.000,2.011,1.952,0
1182,211987,257836287,87081,112688,0.932,0.000,0,340.160,440.188,186.359,37.199,216.629,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110885.336,1036585.062,2.000,2.008,1.952,0
1183,214156,258050443,88047,114317,0.932,0.000,0,343.934,446.551,180.262,39.215,227.074,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110888.336,1037494.625,2.000,2.037,1.952,0
1184,219636,258270079,90098,118388,0.932,0.000,0,351.945,462.453,198.070,36.859,227.523,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110889.836,1038414.062,2.000,1.988,1.952,0
1185,225283,258495362,92080,115281,0.932,0.000,0,359.688,450.316,188.051,37.176,225.090,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110898.836,1039321.000,2.000,2.014,1.952,0
1186,221066,258716428,90699,117128,0.932,0.000,0,354.293,457.531,188.676,38.500,230.355,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110903.336,1040221.875,2.000,1.969,1.952,0
1187,209672,258926100,85795,113372,0.932,0.000,0,335.137,442.859,181.703,37.664,223.492,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110906.336,1041116.188,2.000,2.019,1.952,0
1188,210483,259136583,86683,113224,0.932,0.000,0,338.605,442.281,187.281,37.543,217.457,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110909.336,1042009.625,2.000,2.020,1.952,0
1189,214777,259351360,88629,112101,0.932,0.000,0,346.207,437.895,179.312,38.793,219.789,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110909.336,1042905.438,2.000,2.046,1.952,0
1190,215164,259566524,88447,115366,0.932,0.000,0,345.496,450.648,188.188,38.000,224.461,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110913.836,1043813.938,2.000,2.016,1.952,0
1191,220574,259787098,90719,116937,0.932,0.000,0,354.371,456.785,188.023,36.629,232.133,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110916.836,1044737.688,2.000,2.022,1.952,0
1192,217547,260004645,89661,116197,0.932,0.000,0,350.238,453.895,192.488,36.531,224.875,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110918.336,1045648.250,2.000,2.006,1.952,0
1193,221829,260226474,91262,116392,0.932,0.000,0,356.492,454.656,192.746,36.160,225.750,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110918.336,1046534.875,2.000,1.950,1.952,0
1194,218301,260444775,89744,115613,0.932,0.000,0,350.562,451.613,187.918,37.930,225.766,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110919.836,1047405.438,2.000,1.928,1.952,0
1195,213656,260658431,87967,113793,0.932,0.000,0,343.621,444.504,182.055,36.773,225.676,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110924.336,1048297.875,2.000,2.008,1.952,0
1196,210635,260869066,87022,113103,0.932,0.000,0,339.930,441.809,186.789,37.477,217.543,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110927.336,1049185.625,2.000,2.009,1.952,0
1197,215610,261084676,88538,114936,0.932,0.000,0,345.852,448.969,186.559,37.547,224.863,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110927.336,1050085.250,2.000,2.004,1.952,0
1198,227139,261311815,93498,116862,0.932,0.000,0,365.227,456.492,188.547,38.703,229.242,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110931.836,1051006.250,2.000,2.017,1.952,0
1199,217523,261529338,89986,118291,0.932,0.000,0,351.508,462.074,194.445,37.754,229.875,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110933.336,1051918.375,2.000,1.974,1.952,0
1200,225840,261755178,93194,116354,0.932,0.000,0,364.039,454.508,187.586,37.141,229.781,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110943.836,1052805.250,2.000,1.951,1.952,0
1201,208634,261963812,86160,112521,0.932,0.000,0,336.562,439.535,186.992,35.430,217.113,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110943.836,1053685.375,2.000,2.002,1.952,0
1202,216519,262180331,89277,112871,0.932,0.000,0,348.738,440.902,180.555,36.395,223.953,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110945.336,1054577.375,2.000,2.023,1.953,0
