ts,tps,cum_tps,r_iops,w_iops,hit_ratio,hit_ratio_gc,edt_gap,rmb_s,wmb_s,ewmb_s,cpwmb_s,dwbw_mb,gcwmb_s,gcrmb_s,valid_ratio,comp_ratio,logmb_s,wal_sz,db_sz,alloc_sz,mem_mb,cum_flash_wmb,db_waf,ssd_run_waf,ssd_cum_waf,version
25,77279,1694356,64812,128525,0.864,0.000,0,253.172,502.051,255.340,0.000,246.711,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110412.836,26249.180,2.000,1.975,1.996,0
26,75399,1769755,62153,127268,0.866,0.000,0,242.785,497.141,241.621,0.000,255.520,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110412.836,27242.660,2.000,1.998,1.996,0
27,79843,1849598,65531,127237,0.866,0.000,0,255.980,497.020,253.176,0.000,243.844,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110412.836,28249.266,2.000,2.025,1.997,0
28,76907,1926505,62025,129553,0.868,0.000,0,242.285,506.066,255.316,0.000,250.750,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110412.836,29264.773,2.000,2.007,1.998,0
29,81403,2007908,65247,130652,0.869,0.000,0,254.871,510.359,255.180,0.000,255.180,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110412.836,30262.273,2.000,1.955,1.996,0
30,82515,2090423,65207,128694,0.871,0.000,0,254.715,502.711,247.738,0.000,254.973,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110412.836,31265.332,2.000,1.995,1.996,0
31,83631,2174054,65517,125810,0.872,0.000,0,255.926,491.445,246.391,0.000,245.055,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110412.836,32245.504,2.000,1.994,1.996,0
32,79350,2253404,61428,127060,0.873,0.000,0,239.953,496.328,247.062,0.000,249.266,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110412.836,33247.363,2.000,2.019,1.997,0
33,85430,2338834,65512,126772,0.874,0.000,0,255.906,495.203,247.031,0.000,248.172,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110412.836,34244.652,2.000,2.014,1.997,0
34,86594,2425428,65525,128659,0.875,0.000,0,255.957,502.574,255.035,0.000,247.539,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110412.836,35262.973,2.000,2.026,1.998,0
35,87394,2512822,65524,131665,0.876,0.000,0,255.953,514.316,255.219,0.000,259.098,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110412.836,36296.953,2.000,2.010,1.999,0
36,88327,2601149,65515,129927,0.878,0.000,0,255.918,507.527,254.949,0.000,252.578,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110412.836,37298.121,2.000,1.973,1.998,0
37,86403,2687552,62782,129701,0.880,0.000,0,245.242,506.645,254.949,0.000,251.695,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110412.836,38290.949,2.000,1.960,1.997,0
38,89147,2776699,64168,126852,0.881,0.000,0,250.656,495.516,240.680,0.000,254.836,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110412.836,39281.508,2.000,1.999,1.997,0
39,90090,2866789,64991,125888,0.881,0.000,0,253.875,491.750,252.953,0.000,238.797,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110412.836,40289.254,2.000,2.049,1.998,0
40,88495,2955284,62527,130348,0.883,0.000,0,244.242,509.172,254.586,0.000,254.586,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110412.836,41302.328,2.000,1.990,1.998,0
41,97803,3053087,68870,130370,0.883,0.000,0,269.023,509.258,254.629,0.000,254.629,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110412.836,42332.648,2.000,2.023,1.999,0
42,92552,3145639,64174,130586,0.885,0.000,0,250.680,510.102,255.051,0.000,255.051,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110412.836,43330.352,2.000,1.956,1.998,0
43,92127,3237766,63423,130500,0.885,0.000,0,247.746,509.766,254.883,0.000,254.883,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110412.836,44342.488,2.000,1.985,1.997,0
44,94935,3332701,65055,125258,0.886,0.000,0,254.121,489.289,238.820,0.000,250.469,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110412.836,45322.273,2.000,2.002,1.997,0
45,96691,3429392,65504,127708,0.887,0.000,0,255.875,498.859,254.578,0.000,244.281,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110412.836,46338.543,2.000,2.037,1.998,0
46,91498,3520890,61430,129950,0.888,0.000,0,239.961,507.617,254.152,0.000,253.465,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110412.836,47359.863,2.000,2.012,1.999,0
47,103724,3624614,68906,130426,0.889,0.000,0,269.164,509.477,255.070,0.000,254.406,0.000,0.000,0.000,1.000,0.000,0.000,819740.750,819740.750,110412.836,48389.906,2.000,2.022,1.999,0
